,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,14140.0,2172.0,230584.0,36399.0,12766.0,977.0,44251.0,4866.0,232390.0,36328.0,13738.0,1515.0,69.0,154.0
1,12598.0,5903.0,268122.0,37950.0,13117.0,0.0,37901.0,12904.0,256633.0,36584.0,13630.0,788.0,86.0,154.0
2,23033.0,5235.0,483455.0,74972.0,26172.0,0.0,69671.0,8007.0,495233.0,76720.0,28324.0,460.0,69.0,154.0
3,7528.0,1730.0,200502.0,31499.0,7797.0,0.0,22017.0,4216.0,211319.0,33595.0,10040.0,397.0,68.0,154.0
4,19730.0,4181.0,227227.0,41742.0,24223.0,511.0,47875.0,7481.0,218996.0,39367.0,24469.0,437.0,72.0,154.0
5,8118.0,8680.0,234704.0,35562.0,13493.0,42.0,24643.0,14518.0,232320.0,34961.0,13441.0,374.0,68.0,154.0
6,67133.0,11003.0,662064.0,100454.0,40082.0,1604.0,171207.0,16503.0,668518.0,100725.0,38398.0,1785.0,70.0,154.0
7,7346.0,1221.0,175267.0,29525.0,7649.0,902.0,20933.0,3392.0,183264.0,29762.0,7066.0,1200.0,67.0,154.0
8,5359.0,246.0,202498.0,28124.0,8552.0,0.0,20408.0,2479.0,193203.0,26827.0,8001.0,400.0,86.0,154.0
9,8102.0,6603.0,163687.0,24828.0,7286.0,566.0,20868.0,8576.0,164966.0,25046.0,5325.0,617.0,69.0,154.0
10,2758.0,5100.0,165862.0,24980.0,7541.0,698.0,20860.0,10263.0,176343.0,26691.0,8832.0,1553.0,68.0,154.0
11,5272.0,995.0,219016.0,34253.0,11537.0,0.0,25445.0,2037.0,226628.0,34729.0,11234.0,756.0,68.0,154.0
12,6623.0,4509.0,233321.0,31238.0,10753.0,0.0,24143.0,6529.0,241796.0,31959.0,11579.0,315.0,67.0,154.0
13,8344.0,10198.0,191609.0,26909.0,10820.0,0.0,24928.0,15190.0,185418.0,26246.0,9502.0,260.0,70.0,154.0
14,4564.0,2163.0,205292.0,29284.0,11360.0,456.0,24055.0,4169.0,209036.0,28749.0,10040.0,271.0,68.0,154.0
15,9334.0,1658.0,136050.0,20074.0,7107.0,404.0,14532.0,2913.0,144569.0,21074.0,7472.0,483.0,66.0,154.0
