,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,4555.0,2019.0,271308.0,49380.0,22378.0,659.0,13177.0,3294.0,277982.0,49892.0,22774.0,910.0,67.0,154.0
1,5836.0,145.0,175565.0,26200.0,8833.0,625.0,22951.0,1957.0,167680.0,25109.0,8153.0,709.0,66.0,154.0
2,7323.0,349.0,209078.0,31071.0,12631.0,344.0,17937.0,2424.0,213898.0,32011.0,12861.0,697.0,66.0,155.0
3,7445.0,2332.0,859889.0,148244.0,62004.0,0.0,29568.0,2847.0,865935.0,149797.0,62409.0,909.0,69.0,155.0
4,60525.0,2008.0,677900.0,96351.0,29051.0,0.0,136481.0,4899.0,585935.0,84381.0,23993.0,336.0,90.0,155.0
5,3199.0,1175.0,460319.0,85573.0,37501.0,168.0,19811.0,2821.0,459213.0,86118.0,35256.0,550.0,69.0,155.0
6,25793.0,3093.0,92281.0,12433.0,4877.0,57.0,64947.0,6250.0,97851.0,12825.0,4509.0,427.0,66.0,155.0
7,24928.0,4021.0,81572.0,10696.0,3888.0,476.0,61767.0,6111.0,85993.0,11508.0,3009.0,318.0,64.0,155.0
8,7714.0,1366.0,266513.0,38233.0,13174.0,132.0,18874.0,4099.0,259877.0,37161.0,12808.0,978.0,68.0,155.0
9,23659.0,0.0,75084.0,10920.0,3246.0,281.0,59304.0,1517.0,77064.0,11473.0,3537.0,845.0,64.0,155.0
10,16236.0,5745.0,87226.0,12032.0,3779.0,51.0,56788.0,8711.0,77498.0,10847.0,3815.0,402.0,58.0,155.0
11,50046.0,5986.0,716326.0,114666.0,43459.0,0.0,124409.0,8584.0,719171.0,115629.0,44012.0,888.0,70.0,155.0
12,6626.0,377.0,187208.0,27210.0,10019.0,525.0,21654.0,2072.0,187509.0,27630.0,8248.0,1061.0,67.0,155.0
13,0.0,1291.0,384206.0,61632.0,24760.0,0.0,9910.0,2636.0,382048.0,62004.0,24285.0,369.0,69.0,155.0
14,9771.0,1141.0,147392.0,21760.0,7016.0,292.0,26576.0,2763.0,144783.0,20834.0,6664.0,206.0,67.0,155.0
15,0.0,1839.0,194015.0,27981.0,7894.0,0.0,12896.0,5144.0,187440.0,26740.0,7197.0,317.0,67.0,155.0
16,23827.0,10587.0,148608.0,20950.0,6789.0,0.0,73010.0,18212.0,138246.0,18764.0,6131.0,168.0,64.0,155.0
17,7251.0,542.0,221468.0,33776.0,9766.0,0.0,25995.0,2316.0,213561.0,31909.0,8368.0,127.0,69.0,155.0
18,5958.0,550.0,43186.0,5455.0,2656.0,73.0,28768.0,3227.0,43855.0,5594.0,3062.0,345.0,51.0,155.0
19,2842.0,4572.0,727278.0,129517.0,62128.0,0.0,27620.0,8155.0,694871.0,123789.0,60941.0,1071.0,71.0,155.0
20,15210.0,8846.0,448716.0,65691.0,21056.0,0.0,46499.0,11111.0,413675.0,60543.0,18605.0,133.0,87.0,155.0
21,10296.0,2972.0,64833.0,8057.0,3368.0,57.0,43387.0,5645.0,61525.0,7381.0,3540.0,603.0,63.0,155.0
