,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,FL3-H,FL4-H,Width,Time
0,13444.0,1559.0,240338.0,36397.0,12183.0,861.0,28608.0,2398.0,240779.0,36201.0,12157.0,1088.0,69.0,154.0
1,17891.0,18403.0,148959.0,19270.0,5060.0,910.0,49606.0,32545.0,156024.0,19760.0,4689.0,979.0,67.0,154.0
2,10431.0,1913.0,237049.0,39445.0,14781.0,0.0,24584.0,2804.0,225174.0,37313.0,14903.0,224.0,70.0,154.0
3,13775.0,2050.0,319465.0,45849.0,14081.0,657.0,42555.0,3354.0,289237.0,41986.0,13522.0,561.0,87.0,154.0
4,9103.0,2326.0,188429.0,35143.0,19436.0,0.0,38656.0,5192.0,171359.0,30707.0,17019.0,524.0,72.0,155.0
5,15755.0,4672.0,109060.0,15151.0,5622.0,16.0,38827.0,4958.0,113997.0,16057.0,5384.0,336.0,67.0,155.0
6,13760.0,2283.0,86581.0,11425.0,3469.0,644.0,41414.0,6033.0,86818.0,11672.0,3892.0,590.0,66.0,155.0
7,9104.0,3823.0,101216.0,15804.0,5999.0,907.0,18143.0,6943.0,92153.0,14097.0,4866.0,859.0,73.0,155.0
8,16965.0,1926.0,168612.0,23680.0,6126.0,258.0,44446.0,4992.0,161088.0,22406.0,6325.0,771.0,70.0,155.0
9,9957.0,4816.0,285152.0,46219.0,17957.0,910.0,20048.0,5679.0,267439.0,43574.0,18344.0,998.0,89.0,155.0
10,16550.0,6027.0,158552.0,29643.0,20413.0,106.0,58242.0,9163.0,146666.0,27072.0,17290.0,557.0,71.0,155.0
11,9620.0,1255.0,85786.0,12089.0,3245.0,0.0,29039.0,2617.0,89596.0,12424.0,1951.0,0.0,65.0,155.0
12,5077.0,1743.0,304178.0,47285.0,19649.0,654.0,23320.0,2882.0,281187.0,43454.0,17631.0,1732.0,93.0,155.0
13,25017.0,2133.0,369437.0,45138.0,15252.0,191.0,53124.0,4600.0,347412.0,42580.0,15209.0,459.0,87.0,155.0
14,7117.0,1208.0,149774.0,20916.0,6642.0,0.0,20142.0,4750.0,153208.0,21240.0,7126.0,104.0,67.0,155.0
15,6724.0,383.0,177554.0,25489.0,7699.0,718.0,24099.0,2570.0,176973.0,25650.0,7726.0,425.0,69.0,155.0
16,4788.0,1438.0,130056.0,16736.0,5085.0,0.0,29542.0,3877.0,121197.0,15695.0,4652.0,170.0,70.0,155.0
17,11742.0,2132.0,304285.0,47483.0,17144.0,1469.0,32716.0,5114.0,276701.0,43786.0,15297.0,1874.0,75.0,155.0
18,15597.0,3696.0,240488.0,35581.0,12149.0,292.0,40963.0,4694.0,232498.0,34656.0,12362.0,737.0,72.0,155.0
19,9677.0,4825.0,72966.0,9244.0,3843.0,149.0,35276.0,6464.0,75459.0,9667.0,3273.0,416.0,63.0,155.0
20,12764.0,14822.0,323807.0,47013.0,14946.0,0.0,46480.0,21604.0,297298.0,41355.0,13869.0,567.0,73.0,155.0
21,7750.0,786.0,120671.0,16795.0,4950.0,0.0,30987.0,2190.0,120386.0,17253.0,4433.0,331.0,67.0,155.0
22,40587.0,2554.0,292365.0,41219.0,13409.0,0.0,82662.0,3604.0,269481.0,37604.0,13140.0,622.0,88.0,155.0
23,14942.0,4538.0,269144.0,37176.0,10908.0,0.0,42707.0,9020.0,278415.0,38453.0,12185.0,716.0,68.0,155.0
24,193.0,1952.0,7887.0,1749.0,610.0,0.0,2828.0,3469.0,8353.0,1584.0,279.0,0.0,38.0,155.0
25,9907.0,12840.0,170079.0,23744.0,6739.0,0.0,45055.0,21631.0,171621.0,24086.0,8325.0,249.0,69.0,155.0
26,7748.0,1061.0,148884.0,20358.0,6564.0,112.0,18049.0,2280.0,145986.0,19897.0,6359.0,536.0,70.0,155.0
27,12342.0,2574.0,248452.0,33222.0,10035.0,724.0,37963.0,3536.0,224356.0,29743.0,10312.0,833.0,71.0,155.0
28,10864.0,5238.0,224230.0,36328.0,15267.0,257.0,26932.0,10006.0,224057.0,35584.0,13581.0,732.0,68.0,155.0
29,5699.0,4226.0,138002.0,19196.0,5035.0,0.0,20586.0,8660.0,141222.0,19483.0,4595.0,160.0,67.0,155.0
30,11475.0,3129.0,74290.0,10885.0,2211.0,580.0,33093.0,3942.0,75158.0,10905.0,2199.0,501.0,64.0,155.0
31,9585.0,909.0,147641.0,19195.0,5850.0,0.0,34153.0,2657.0,148445.0,19178.0,6257.0,162.0,68.0,155.0
32,14425.0,5359.0,311084.0,46517.0,14738.0,554.0,47158.0,7803.0,296786.0,44799.0,14107.0,690.0,73.0,155.0
33,12713.0,1661.0,63085.0,8673.0,1720.0,80.0,54666.0,3615.0,60926.0,8083.0,2239.0,279.0,68.0,155.0
34,12083.0,814.0,79178.0,11354.0,3358.0,293.0,40420.0,2689.0,81752.0,11083.0,3090.0,502.0,66.0,155.0
35,20629.0,2052.0,161448.0,25952.0,7716.0,0.0,54294.0,6104.0,169321.0,26731.0,6521.0,351.0,67.0,155.0
36,23792.0,2267.0,326595.0,51548.0,13476.0,411.0,58336.0,3673.0,313180.0,49845.0,13437.0,438.0,71.0,155.0
37,6044.0,1800.0,408155.0,64552.0,20894.0,430.0,30552.0,4263.0,372215.0,58079.0,16422.0,821.0,88.0,155.0
38,20713.0,1604.0,282761.0,43342.0,11675.0,102.0,46831.0,3593.0,277107.0,41916.0,11307.0,469.0,71.0,155.0
39,5878.0,0.0,238334.0,37439.0,14552.0,0.0,33932.0,1883.0,220542.0,35104.0,13449.0,561.0,86.0,155.0
40,18025.0,6433.0,188013.0,27144.0,9499.0,0.0,49600.0,9961.0,178776.0,26846.0,8744.0,349.0,70.0,155.0
41,7560.0,13937.0,25118.0,3046.0,1006.0,0.0,31717.0,24151.0,25945.0,3341.0,672.0,166.0,63.0,156.0
