,Theoretical Abundances,D1,D2,N,p0,Target abundances
1,1,1.2614378662450212,1.1314698076239034,3084.0,0.061932555123216604,0.0144210832
6,5,1.4203218411746765,1.2485441662885033,10000.0,0.1121,0.0708400038
0,10,1.6399500977285826,1.4599528651297584,10000.0,0.1959,0.1386387115
2,20,1.758606477712301,1.6051158251579434,10000.0,0.252,0.2658634016
3,30,1.9495852552587765,1.9036287923854847,10000.0,0.3875,0.3830279021
4,40,1.9954858570940273,1.9910089222684635,10000.0,0.5336,0.4912800816
5,50,1.9161302800235482,1.844255636109773,10000.0,0.6453,0.591599578
7,60,1.8674753296501074,1.763736864569701,10000.0,0.683,0.6848275285
8,70,1.7162141287324175,1.550279485936004,10000.0,0.7693,0.771690211
9,80,1.455866079516504,1.2785259598047802,10000.0,0.8756,0.8528180019
10,90,1.326011298809096,1.175845425806082,10000.0,0.9186,0.9287606994
11,95,1.239120340456576,1.1171181034015687,10000.0,0.9445,0.9649405356
12,99,1.1462273048626934,1.0628568209633626,10000.0,0.9695,0.9930752311
