,species_i,species_j,accuracy,AUC
0,Pseudomonas putida,Burkholderia ambifaria,0.844,0.907639373008195
1,Pseudomonas putida,Shewanella oneidensis,0.885,0.953690085789893
2,Pseudomonas putida,Cupriavidus necator,0.8596666666666667,0.9266651135328932
3,Pseudomonas putida,Cupriavidus pinatubonensis,0.726,0.7989726197928523
4,Pseudomonas putida,Zymomonas mobilis subsp. mobilis,0.913,0.9698139262747552
5,Pseudomonas putida,Sphingomonas aromaticivorans,0.9223333333333333,0.978171282793649
6,Pseudomonas putida,Rhizobium radiobacter,0.8403333333333334,0.9088853627219441
7,Pseudomonas putida,Pseudomonas fluorescens,0.7376666666666667,0.820466109079786
8,Pseudomonas putida,Lactobacillus plantarum,0.8756666666666667,0.9489722196534259
9,Pseudomonas putida,Streptococcus salivarius,0.9463333333333334,0.9833137413214204
10,Pseudomonas putida,Bacillus subtilis,0.88,0.9457873321192807
11,Pseudomonas putida,Agrobacter rhizogenes,0.807,0.8844532939477578
12,Pseudomonas putida,Micrococcus luteus,0.956,0.9874909746329388
13,Pseudomonas putida,Citrobacter freundii,0.8393333333333334,0.9069953708314364
14,Pseudomonas putida,Enterobacter aerogenes,0.8173333333333334,0.8818768406413613
15,Pseudomonas putida,Escherichia coli,0.7353333333333333,0.8042097779848623
16,Pseudomonas putida,Edwardsialla ictaluri,0.8456666666666667,0.9063135777088549
17,Pseudomonas putida,Klebsiella oxytoca,0.82,0.8969972203647849
18,Pseudomonas putida,Janthinobacterium sp. strain B3,0.752,0.8359548393751421
19,Burkholderia ambifaria,Shewanella oneidensis,0.9686666666666667,0.9937760535226496
20,Burkholderia ambifaria,Cupriavidus necator,0.958,0.9880660639084908
21,Burkholderia ambifaria,Cupriavidus pinatubonensis,0.861,0.9259081831180287
22,Burkholderia ambifaria,Zymomonas mobilis subsp. mobilis,0.991,0.995584461430116
23,Burkholderia ambifaria,Sphingomonas aromaticivorans,0.9896666666666667,0.9982829572615525
24,Burkholderia ambifaria,Rhizobium radiobacter,0.9683333333333334,0.9908119095720463
25,Burkholderia ambifaria,Pseudomonas fluorescens,0.9506666666666667,0.9750662008450945
26,Burkholderia ambifaria,Lactobacillus plantarum,0.938,0.9832290451428409
27,Burkholderia ambifaria,Streptococcus salivarius,0.9803333333333333,0.9961639966992943
28,Burkholderia ambifaria,Bacillus subtilis,0.929,0.9830674332745276
29,Burkholderia ambifaria,Agrobacter rhizogenes,0.9583333333333334,0.9854149179091737
30,Burkholderia ambifaria,Micrococcus luteus,0.956,0.9939836814249943
31,Burkholderia ambifaria,Citrobacter freundii,0.6853333333333333,0.748536156598566
32,Burkholderia ambifaria,Enterobacter aerogenes,0.6373333333333333,0.6940825158633053
33,Burkholderia ambifaria,Escherichia coli,0.8003333333333333,0.8808493715143411
34,Burkholderia ambifaria,Edwardsialla ictaluri,0.673,0.7408003499886182
35,Burkholderia ambifaria,Klebsiella oxytoca,0.8063333333333333,0.8735308214062144
36,Burkholderia ambifaria,Janthinobacterium sp. strain B3,0.9196666666666666,0.9596588322330982
37,Shewanella oneidensis,Cupriavidus necator,0.956,0.9912405033576144
38,Shewanella oneidensis,Cupriavidus pinatubonensis,0.953,0.9871339613447531
39,Shewanella oneidensis,Zymomonas mobilis subsp. mobilis,0.8523333333333334,0.928854543094127
40,Shewanella oneidensis,Sphingomonas aromaticivorans,0.9303333333333333,0.9742812606703846
41,Shewanella oneidensis,Rhizobium radiobacter,0.7476666666666667,0.8236994579444572
42,Shewanella oneidensis,Pseudomonas fluorescens,0.8993333333333333,0.9563821349305714
43,Shewanella oneidensis,Lactobacillus plantarum,0.9246666666666666,0.977469038100387
44,Shewanella oneidensis,Streptococcus salivarius,0.956,0.992176829615297
